# Taxid	Sci.Name	Rank	Named Lineage	Taxid Lineage
883096	Bergeyella zoohelcum ATCC 43767	no rank	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bergeyella,Bergeyella zoohelcum,Bergeyella zoohelcum ATCC 43767	1,131567,2,1783270,68336,976,117743,200644,49546,59735,1015,883096
189918	Mycobacterium sp. KMS	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. KMS	1,131567,2,1783272,201174,1760,85007,1762,1763,189918
683837	Listeria seeligeri serovar 1/2b str. SLCC3954	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria seeligeri,Listeria seeligeri serovar 1/2b str. SLCC3954	1,131567,2,1783272,1239,91061,1385,186820,1637,1640,683837
873449	Streptococcus criceti HS-6	no rank	root,cellular organisms,Bacteria,Terrabacteria group,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus criceti,Streptococcus criceti HS-6	1,131567,2,1783272,1239,91061,186826,1300,1301,1333,873449
68287	Mesorhizobium	genus	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium	1,131567,2,1224,28211,356,69277,68287
1842536	Agrobacterium sp. RAC06	species	root,cellular organisms,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium/Agrobacterium group,Agrobacterium,Agrobacterium sp. RAC06	1,131567,2,1224,28211,356,82115,227290,357,1842536
1121097	Bacteroides graminisolvens DSM 19988 = JCM 15093	no rank	root,cellular organisms,Bacteria,FCB group,Bacteroidetes/Chlorobi group,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides graminisolvens,Bacteroides graminisolvens DSM 19988 = JCM 15093	1,131567,2,1783270,68336,976,200643,171549,815,816,477666,1121097
1805478	Olsenella sp. Marseille-P2300	species	root,cellular organisms,Bacteria,Terrabacteria group,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella sp. Marseille-P2300	1,131567,2,1783272,201174,84998,84999,1643824,133925,1805478
903510	Vibrio furnissii NCTC 11218	no rank	root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio furnissii,Vibrio furnissii NCTC 11218	1,131567,2,1224,1236,135623,641,662,29494,903510
2420	Thermosipho	genus	root,cellular organisms,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Thermosipho	1,131567,2,200918,188708,2419,1643950,2420
